Insc. Red,logr_numpredial
003.092.01.0095,"AMAPA, 429"
003.092.01.0080,"AMAPA, 461"
003.092.01.0145,"AMAPA, 349"
003.092.01.0105,"AMAPA, 401"
003.092.01.0090,"AMAPA, 441"
003.179.03.0245,"AMAPA, 221"
003.091.02.0070,"AMAPA, 460"
003.092.01.0085,"AMAPA, 451"
003.177.03.0165,"AMAPA, 200"
003.091.02.0060,"AMAPA, 440"
003.071.02.0070,"AMAZONAS, 72"
003.093.01.0155,"AMAZONAS, 163"
003.071.02.0060,"AMAZONAS, 62"
003.092.02.0035,"AMAZONAS, 152"
003.093.01.0150,"AMAZONAS, 175"
003.093.01.0175,"AMAZONAS, 143"
003.093.01.0185,"AMAZONAS, 133"
003.179.04.0020,"AMAZONAS, 4"
003.092.02.0070,"AMAZONAS, 226"
003.072.01.0223,"AMAZONAS, 7"
003.071.02.0080,"AMAZONAS, 82"
003.093.01.0145,"AMAZONAS, 193"
003.093.01.0165,"AMAZONAS, 153"
003.092.02.0025,"AMAZONAS, 142"
003.072.01.0160,"AMAZONAS, 63"
003.072.01.0185,"AMAZONAS, 33"
003.093.01.0135,"AMAZONAS, 215"
003.092.02.0055,"AMAZONAS, 192"
003.092.02.0050,"AMAZONAS, 172"
003.092.02.0065,"AMAZONAS, 214"
003.092.02.0015,"AMAZONAS, 132"
003.093.01.0130,"AMAZONAS, 231"
003.072.01.0213,"AMAZONAS, 9"
003.092.02.0005,"AMAZONAS, 122"
003.092.02.0045,"AMAZONAS, 162"
003.092.02.0060,"AMAZONAS, 202"
003.071.02.0005,"AMAZONAS, 8"
003.093.01.0195,"AMAZONAS, 123"
003.072.01.0140,"AMAZONAS, 73"
003.093.01.0140,"AMAZONAS, 203"
003.072.01.0170,"AMAZONAS, 53"
003.072.01.0203,"AMAZONAS, 13"
003.092.02.0073,"AMAZONAS, 238"
003.093.01.0133,"AMAZONAS, 221"
003.072.01.0195,"AMAZONAS, 23"
003.071.02.0025,"AMAZONAS, 22"
003.071.02.0015,"AMAZONAS, 12"
003.165.06.0310,"AMETISTA, 26"
003.165.06.0320,"AMETISTA, 25"
003.016.04.0165,"ANIBAL PEREIRA, 120"
003.029.02.0210,"ANIBAL PEREIRA, 20"
003.012.04.0630,"ANIBAL PEREIRA, 140"
003.011.06.1100,"ANIBAL PEREIRA, 151"
003.029.02.0235,"ANIBAL PEREIRA, 42"
003.028.02.0450,"ANIBAL PEREIRA, 21"
003.022.02.0435,"ANIBAL PEREIRA, 79"
003.023.01.0230,"ANIBAL PEREIRA, 90"
003.023.01.0205,"ANIBAL PEREIRA, 70"
003.022.02.0415,"ANIBAL PEREIRA, 89"
003.012.04.0245,"ANIBAL PEREIRA, 152"
003.023.01.0220,"ANIBAL PEREIRA, 80"
003.022.02.0450,"ANIBAL PEREIRA, 59"
003.022.02.0440,"ANIBAL PEREIRA, 69"
003.028.02.0400,"ANIBAL PEREIRA, 29"
003.023.01.0195,"ANIBAL PEREIRA, 60"
003.059.02.0360,"ANTONIO DE SOUZA, 120"
003.059.02.0335,"ANTONIO DE SOUZA, 84"
003.058.02.0150,"ANTONIO DE SOUZA, 37"
003.058.02.0128,"ANTONIO DE SOUZA, 59"
003.058.02.0115,"ANTONIO DE SOUZA, 65"
003.058.02.0160,"ANTONIO DE SOUZA, 25"
003.058.02.0050,"ANTONIO DE SOUZA, 123"
003.058.02.0025,"ANTONIO DE SOUZA, 165"
003.058.02.0035,"ANTONIO DE SOUZA, 153"
003.059.02.0350,"ANTONIO DE SOUZA, 104"
003.059.02.0340,"ANTONIO DE SOUZA, 94"
003.059.02.0300,"ANTONIO DE SOUZA, 54"
003.058.02.0095,"ANTONIO DE SOUZA, 93"
003.058.02.0105,"ANTONIO DE SOUZA, 81"
003.059.02.0405,"ANTONIO DE SOUZA, 162"
003.059.02.0330,"ANTONIO DE SOUZA, 72"
003.058.02.0140,"ANTONIO DE SOUZA, 47"
003.173.03.0005,"ANTONIO MULLER REIS, 55"
003.176.03.0180,"ANTONIO MULLER REIS, 32"
003.166.04.0110,"ANTONIO MULLER REIS, 165"
003.176.03.0170,"ANTONIO MULLER REIS, 20"
003.176.03.0190,"ANTONIO MULLER REIS, 44"
003.173.03.0025,"ANTONIO MULLER REIS, 31"
003.048.01.0015,"ANTONIO MULLER REIS, 220"
003.173.03.0015,"ANTONIO MULLER REIS, 43"
003.054.03.0145,"ANTONIO MULLER REIS, 80"
003.173.03.0045,"ANTONIO MULLER REIS, 19"
003.036.01.0230,"ANTONIO ZAGUINI, 44"
003.036.01.0220,"ANTONIO ZAGUINI, 32"
003.036.01.0210,"ANTONIO ZAGUINI, 20"
003.198.02.0120,"ARACAJU, 129"
003.198.02.0140,"ARACAJU, 153"
003.196.01.0010,"ARACAJU, 15"
003.198.02.0110,"ARACAJU, 117"
003.198.02.0130,"ARACAJU, 141"
003.199.03.0060,"ARACAJU, 106"
003.195.02.0140,"ARACAJU, 6"
003.199.03.0010,"ARACAJU, 166"
003.195.02.0130,"ARACAJU, 18"
003.199.03.0050,"ARACAJU, 118"
003.199.03.0040,"ARACAJU, 132"
003.199.03.0030,"ARACAJU, 142"
003.195.02.0120,"ARACAJU, 30"
003.195.02.0110,"ARACAJU, 42"
003.198.02.0100,"ARACAJU, 105"
003.199.03.0020,"ARACAJU, 154"
003.055.02.0025,"ARMANDO DE AMORIM, 175"
003.055.02.0040,"ARMANDO DE AMORIM, 211"
003.056.02.0040,"ARMANDO DE AMORIM, 319"
003.176.04.0270,"ARMANDO DE AMORIM, 74"
003.056.02.0035,"ARMANDO DE AMORIM, 307"
003.176.04.0255,"ARMANDO DE AMORIM, 50"
003.055.02.0005,"ARMANDO DE AMORIM, 125"
003.176.04.0240,"ARMANDO DE AMORIM, 38"
003.055.02.0020,"ARMANDO DE AMORIM, 161"
003.057.01.0300,"ARMANDO DE AMORIM, 300"
003.176.04.0260,"ARMANDO DE AMORIM, 62"
003.177.02.0105,"ARMANDO DE AMORIM, 190"
003.176.04.0250,"ARMANDO DE AMORIM, 50"
003.054.02.0035,"ARMANDO DE AMORIM, 63"
003.056.02.0030,"ARMANDO DE AMORIM, 295"
003.055.02.0015,"ARMANDO DE AMORIM, 149"
003.054.02.0040,"ARMANDO DE AMORIM, 75"
003.177.02.0075,"ARMANDO DE AMORIM, 160"
003.054.02.0025,"ARMANDO DE AMORIM, 39"
003.055.02.0030,"ARMANDO DE AMORIM, 185"
003.056.02.0010,"ARMANDO DE AMORIM, 247"
003.056.02.0045,"ARMANDO DE AMORIM, 331"
003.056.02.0050,"ARMANDO DE AMORIM, 343"
003.055.02.0035,"ARMANDO DE AMORIM, 197"
003.179.02.0160,"ARMANDO DE AMORIM, 256"
003.176.04.0200,"ARMANDO DE AMORIM, 14"
003.055.02.0010,"ARMANDO DE AMORIM, 137"
003.054.02.0045,"ARMANDO DE AMORIM, 87"
003.179.02.0150,"ARMANDO DE AMORIM, 268"
003.177.02.0065,"ARMANDO DE AMORIM, 150"
003.177.02.0055,"ARMANDO DE AMORIM, 140"
003.054.02.0010,"ARMANDO DE AMORIM, 15"
003.056.02.0015,"ARMANDO DE AMORIM, 259"
003.055.02.0045,"ARMANDO DE AMORIM, 219"
003.056.02.0020,"ARMANDO DE AMORIM, 271"
003.054.02.0050,"ARMANDO DE AMORIM, 99"
003.054.02.0020,"ARMANDO DE AMORIM, 27"
003.176.04.0230,"ARMANDO DE AMORIM, 26"
003.054.02.0030,"ARMANDO DE AMORIM, 51"
003.176.04.0280,"ARMANDO DE AMORIM, 86"
003.177.02.0095,"ARMANDO DE AMORIM, 180"
003.056.02.0025,"ARMANDO DE AMORIM, 283"
003.177.02.0085,"ARMANDO DE AMORIM, 170"
003.215.01.0310,"ARNALDO EMILIO DALCOQUIO, 400"
003.213.01.0220,"ARNALDO EMILIO DALCOQUIO, 95"
003.215.01.0210,"ARNALDO EMILIO DALCOQUIO, 500"
003.213.01.0070,"ARNALDO EMILIO DALCOQUIO, 245"
003.214.03.0910,"ARNALDO EMILIO DALCOQUIO, 411"
003.215.01.0620,"ARNALDO EMILIO DALCOQUIO, 90"
003.214.03.0860,"ARNALDO EMILIO DALCOQUIO, 461"
003.215.01.0350,"ARNALDO EMILIO DALCOQUIO, 360"
003.213.01.0250,"ARNALDO EMILIO DALCOQUIO, 65"
003.213.01.0210,"ARNALDO EMILIO DALCOQUIO, 105"
003.215.01.0490,"ARNALDO EMILIO DALCOQUIO, 220"
003.215.01.0640,"ARNALDO EMILIO DALCOQUIO, 70"
003.215.01.0540,"ARNALDO EMILIO DALCOQUIO, 170"
003.214.03.0870,"ARNALDO EMILIO DALCOQUIO, 451"
003.215.01.0520,"ARNALDO EMILIO DALCOQUIO, 190"
003.215.01.0270,"ARNALDO EMILIO DALCOQUIO, 440"
003.213.01.0120,"ARNALDO EMILIO DALCOQUIO, 195"
003.213.01.0170,"ARNALDO EMILIO DALCOQUIO, 145"
003.215.01.0480,"ARNALDO EMILIO DALCOQUIO, 230"
003.215.01.0160,"ARNALDO EMILIO DALCOQUIO, 550"
